Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,13100.00,-,-,-,282.15,-,0.15,-,-,-,-,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12900.00,-,-,-,336.55,-,0.30,-,-,-,-,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12800.00,-,-,-,360.60,-,0.50,-,-,-,-,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,13000.00,0.20,1.35,0.20,1.00,1.00,1.00,6.00,19.50,128.75,2500.00,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12700.00,0.10,0.10,0.10,0.10,0.10,0.10,1.00,3.18,2.50,1200.00,25.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12600.00,-,-,-,414.35,-,1.05,-,-,-,-,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12500.00,1.20,1.65,0.65,1.20,1.20,1.20,59.00,184.39,1755.00,5625.00,1050.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12400.00,-,-,-,474.45,-,2.30,-,-,-,-,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12300.00,-,-,-,506.95,-,3.35,-,-,-,-,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12200.00,-,-,-,2.35,3.00,4.80,-,-,-,100.00,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12100.00,4.25,4.25,4.10,4.10,4.10,4.10,23.00,69.60,2376.25,600.00,575.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,12000.00,4.45,7.65,4.10,4.65,4.70,4.65,2112.00,6339.07,307283.75,68275.00,11900.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11900.00,5.70,9.15,5.20,5.45,5.30,5.45,341.00,1015.10,62690.00,4950.00,825.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11800.00,8.10,13.60,6.95,7.15,7.50,7.15,1357.00,4006.45,330130.00,10725.00,5025.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11700.00,17.05,19.35,10.00,10.25,10.15,10.25,1680.00,4919.60,559505.00,19075.00,8050.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11600.00,16.65,27.45,14.05,14.60,14.65,14.60,1205.00,3499.88,537636.25,12250.00,-500.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11500.00,23.45,39.00,19.55,20.50,19.80,20.50,11346.00,32694.89,7513801.25,198125.00,20000.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11400.00,32.15,52.90,26.15,28.85,28.80,28.85,4302.00,12297.13,3642681.25,103550.00,-32325.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11100.00,89.95,132.30,70.20,77.85,73.65,77.85,4955.00,13873.57,12344050.00,32075.00,2325.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11000.00,49.70,172.70,49.70,102.70,99.80,102.70,32190.00,89557.27,103476850.00,307800.00,65350.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11300.00,46.25,74.90,36.95,41.20,38.00,41.20,4937.00,14011.10,6407047.50,91125.00,39850.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,11200.00,65.70,100.15,52.00,56.25,54.50,56.25,5854.00,16502.78,11157833.75,71150.00,15575.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10700.00,241.00,333.95,199.95,215.10,208.00,215.10,7735.00,21182.59,49146700.00,95050.00,10550.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10800.00,199.35,271.00,158.25,172.30,165.00,172.30,9412.00,25899.07,48667381.25,96525.00,22425.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10600.00,306.05,390.00,245.45,268.20,258.00,268.20,4314.00,11760.97,32886557.50,73125.00,35350.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10900.00,161.15,216.65,123.60,134.10,125.00,134.10,6140.00,16983.81,25231128.75,55175.00,1975.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10400.00,441.70,530.00,365.00,391.50,380.00,391.50,105.00,284.40,1139776.25,5850.00,400.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10500.00,358.05,461.90,302.45,322.40,311.95,322.40,1476.00,4007.19,13268503.75,61300.00,6450.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10200.00,600.00,700.00,500.00,500.00,500.00,500.00,152.00,411.09,2348992.50,4700.00,225.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10300.00,484.10,615.75,430.00,430.00,430.00,430.00,42.00,113.38,523166.25,3900.00,-225.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10100.00,653.00,653.00,611.00,625.90,625.90,625.90,5.00,13.41,78270.00,1000.00,-50.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,9900.00,-,-,-,700.00,700.00,841.50,-,-,-,75.00,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,10000.00,751.00,871.35,671.00,705.85,695.00,705.85,167.00,449.65,3215085.00,23800.00,200.00,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,9800.00,-,-,-,950.00,950.00,931.60,-,-,-,850.00,-,10651.95
BANKNIFTY,03-Mar-2014,27-Mar-2014,CE,9700.00,995.65,1116.55,958.00,958.00,958.00,958.00,4.00,10.73,102901.25,1275.00,-,10651.95
