Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,35.2,11575.6,14300.0,0.00094,0.1424657534,0.1156394789,-,0.0002438636188,0.0,3.98e-05,35.2,0.004058453804,0.0183650158,0.001061756845
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,43.45,11575.6,14200.0,0.00094,0.1424657534,0.11717586,-,0.0007182657428,0.0,0.0001466251701,43.45,8.59e-07,0.0,-0.0001009110576
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,53.4,11575.6,14100.0,0.00094,0.1424657534,0.08094998074,-,2.92e-08,0.0,-0.0001641840055,53.4,10.3786415,12.58070959,8.014252112
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,65.15,11575.6,14000.0,0.00094,0.1424657534,0.2211210982,-,6.018422497,6.809980377,4.535177627,65.15,1.422720797,1.327036934,0.8273566924
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,95.3,11575.6,13800.0,0.00094,0.1424657534,0.1558666921,-,0.5622527597,0.8074268231,0.2931494427,95.3,1.439006855,1.368146897,0.860802235
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,79.05,11575.6,13900.0,0.00094,0.1424657534,0.1628043343,-,0.593216336,0.6858168548,0.3233748979,79.05,18.06080314,20.10308501,14.06032371
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,114.2,11575.6,13700.0,0.00094,0.1424657534,0.2169462882,-,10.69261748,11.99673389,8.14362684,114.2,67.28434144,73.11173119,59.48334625
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,91.0,11575.6,13500.0,0.00094,0.1424657534,0.2709582784,91,47.09648861,49.66269522,41.30709925,91.0,15.47780605,15.55676156,11.71261274
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,136.45,11575.6,13600.0,0.00094,0.1424657534,0.2017847447,-,8.724663116,10.47295703,6.422915489,136.45,63.13495155,62.63709005,53.92017537
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,221.3,11575.6,13300.0,0.00094,0.1424657534,0.2433535251,-,42.38099039,46.01007517,35.72359988,221.3,74.42773383,79.69155827,63.49291798
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,257.25,11575.6,13200.0,0.00094,0.1424657534,0.2433891325,-,50.46806995,51.09790928,42.31943683,257.25,145.6093409,145.6384961,133.4501931
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,297.25,11575.6,13100.0,0.00094,0.1424657534,0.2927550845,-,108.6539897,111.1551847,99.39081448,297.25,17.22186422,18.8585748,12.48720882
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,189.2,11575.6,13400.0,0.00094,0.1424657534,0.1873637291,-,9.362319961,11.1683955,6.653523476,189.2,381.5168421,407.1368742,388.762666
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,20.0,11575.6,13000.0,0.00094,0.1424657534,0.4386641606,20,321.8743061,322.2801783,331.1364523,20.0,142.248372,147.1667366,126.9596562
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,389.9,11575.6,12900.0,0.00094,0.1424657534,0.2614834733,-,102.7723648,105.3293886,90.89799695,389.9,276.11278,279.0458277,257.5388941
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,560.95,11575.6,12600.0,0.00094,0.1424657534,0.3029314997,-,215.2394784,228.8848673,200.8287963,560.95,261.8012566,273.6265312,250.1083122
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,442.65,11575.6,12800.0,0.00094,0.1424657534,0.3286331951,-,206.8716573,207.8325711,195.4499471,442.65,343.2976564,355.9820541,336.1515893
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,499.7,11575.6,12700.0,0.00094,0.1424657534,0.3626392232,-,279.9179959,292.357001,274.1315074,499.7,382.1514897,389.2470624,370.8760885
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,626.3,11575.6,12500.0,0.00094,0.1424657534,0.3484690674,-,311.1707084,341.4618794,300.2500391,626.3,314.5584062,326.2425188,286.7489572
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,768.9,11575.6,12300.0,0.00094,0.1424657534,0.2680316899,-,241.0707216,255.6822475,217.1882504,768.9,234.4937828,243.696534,207.2007754
