Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1861.7,11575.6,10900.0,0.00094,0.1424657534,0.3021920534,-,1002.671623,1020.629642,961.2620796,1861.7,1028.121752,1032.129224,989.4928058
BANKNIFTY,04-Mar-2013,25-Apr-2013,750,750.0,11575.6,11000.0,0.00094,0.1424657534,0.3187654855,750,957.610992,971.8226557,922.9926916,750.0,1236.486101,1258.585334,1186.645263
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1822.0,11575.6,10800.0,0.00094,0.1424657534,0.2965962847,-,1067.460941,1087.35239,1020.980279,1822.0,1349.088246,1374.270037,1270.322452
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1623.5,11575.6,10600.0,0.00094,0.1424657534,0.2358923918,-,1158.667268,1182.480727,1083.654584,1623.5,1260.821924,1285.316279,1184.589344
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1847.35,11575.6,10700.0,0.00094,0.1424657534,0.2357976487,-,1074.972199,1106.986097,1003.018823,1847.35,1459.953477,1493.886129,1393.714949
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1720.4,11575.6,10500.0,0.00094,0.1424657534,0.2673894099,-,1271.567677,1295.147786,1208.277811,1720.4,1620.528152,1637.078368,1534.354118
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1701.5,11575.6,10300.0,0.00094,0.1424657534,0.2275849208,-,1417.981965,1439.967473,1334.594951,1701.5,1522.558231,1550.047185,1433.823074
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1790.9,11575.6,10400.0,0.00094,0.1424657534,0.2175634113,-,1321.128296,1349.492034,1235.485808,1790.9,1709.868773,1752.660946,1614.611733
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1799.05,11575.6,10200.0,0.00094,0.1424657534,0.2061811478,-,1501.848227,1525.986796,1408.370548,1799.05,1901.96336,1925.057682,1796.015412
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1655.5,11575.6,10000.0,0.00094,0.1424657534,0.1785971469,-,1689.057254,1697.698071,1583.991591,1655.5,2000.02566,2018.540793,1886.637889
