Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,765.0,11575.6,10900.0,0.00094,0.06575342466,0.3021920534,745,828.3432522,822.2912903,807.2455243,765.0,932.4892943,929.8509489,914.8906744
BANKNIFTY,04-Mar-2013,28-Mar-2013,564,648.55,11575.6,11000.0,0.00094,0.06575342466,0.3187654855,651.7,766.4351528,771.711611,749.4444155,833.1,845.3759894,850.7262185,825.9758126
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1748.3,11575.6,10800.0,0.00094,0.06575342466,0.2965962847,-,904.5335852,926.4434052,882.0000088,1748.3,1156.180258,1159.468226,1119.012787
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1775.15,11575.6,10700.0,0.00094,0.06575342466,0.2357976487,-,955.9780239,968.9643166,919.8871205,1775.15,1251.915091,1253.157558,1214.056583
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1547.1,11575.6,10600.0,0.00094,0.06575342466,0.2358923918,-,1047.931229,1058.905998,1010.789464,1547.1,1544.265533,1550.447968,1504.047392
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1618.1,11575.6,10300.0,0.00094,0.06575342466,0.2275849208,-,1332.803147,1339.13895,1292.128195,1618.1,1444.998154,1451.447379,1403.326248
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1270.0,11575.6,10400.0,0.00094,0.06575342466,0.2175634113,1270,1234.09762,1247.060608,1192.193239,1270.0,1354.361867,1379.267059,1322.49426
BANKNIFTY,04-Mar-2013,28-Mar-2013,1065.85,1119.3,11575.6,10500.0,0.00094,0.06575342466,0.2673894099,1119.3,1151.799237,1173.384393,1120.114517,1160.95,1940.848144,1946.46818,1889.554841
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1655.8,11575.6,9900.0,0.00094,0.06575342466,0.1532600722,-,1726.516031,1750.795212,1674.165336,1975.0,1841.349632,1854.640952,1793.264175
BANKNIFTY,04-Mar-2013,28-Mar-2013,2294.9,2294.9,11575.6,10000.0,0.00094,0.06575342466,0.1785971469,2294.9,1627.089085,1635.984628,1578.036139,2294.9,1642.635144,1668.143123,1598.71419
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1717.3,11575.6,10200.0,0.00094,0.06575342466,0.2061811478,-,1429.237813,1441.643361,1384.601861,1717.3,1741.91456,1761.179563,1696.304159
BANKNIFTY,04-Mar-2013,28-Mar-2013,-,1460.3,11575.6,10100.0,0.00094,0.06575342466,0.1956666474,-,1527.926106,1544.374655,1481.475951,1460.3,0.001511313919,0.0,0.0003561800052
BANKNIFTY,05-Mar-2013,28-Mar-2013,-,520.0,11792.05,11100.0,0.00094,0.06301369863,0.3092128016,520,845.3759894,850.7262185,825.9758126,795.0,833.9314641,844.7483927,817.2500473
BANKNIFTY,05-Mar-2013,28-Mar-2013,530,653.6,11792.05,11200.0,0.00094,0.06301369863,0.316966537,650,775.417461,789.902924,758.7941596,679.05,996.9126807,995.5735859,978.8056516
BANKNIFTY,05-Mar-2013,28-Mar-2013,725.25,833.1,11792.05,11000.0,0.00094,0.06301369863,0.3187654855,833.1,932.4892943,929.8509489,914.8906744,938.0,1072.917751,1085.531104,1051.025704
BANKNIFTY,05-Mar-2013,28-Mar-2013,-,765.0,11792.05,10900.0,0.00094,0.06301369863,0.3021920534,745,1004.356805,1021.523639,982.1658927,765.0,1159.357405,1163.464606,1135.854499
BANKNIFTY,05-Mar-2013,28-Mar-2013,-,1748.3,11792.05,10800.0,0.00094,0.06301369863,0.2965962847,-,1087.942814,1101.130429,1063.693818,1748.3,1234.162367,1244.522244,1197.696868
BANKNIFTY,05-Mar-2013,28-Mar-2013,-,1775.15,11792.05,10700.0,0.00094,0.06301369863,0.2357976487,-,1156.180258,1159.468226,1119.012787,1775.15,1432.8306,1448.232133,1401.738089
BANKNIFTY,05-Mar-2013,28-Mar-2013,1160.95,1160.95,11792.05,10500.0,0.00094,0.06301369863,0.2673894099,1160.95,1354.361867,1379.267059,1322.49426,1412.5,1526.180567,1541.725726,1485.83069
BANKNIFTY,05-Mar-2013,28-Mar-2013,-,1270.0,11792.05,10400.0,0.00094,0.06301369863,0.2175634113,1270,1444.998154,1451.447379,1403.326248,1400.0,1625.578125,1622.88039,1586.680079
