Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,13200.00,-,-,-,284.40,-,0.25,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12700.00,-,-,-,242.20,-,0.75,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12900.00,-,-,-,356.00,-,0.50,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12800.00,-,-,-,0.05,0.05,0.60,-,-,-,800.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,13100.00,-,-,-,306.90,-,0.30,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,13000.00,-,-,-,0.05,0.05,0.40,-,-,-,50.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12600.00,-,-,-,264.35,-,0.95,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,13400.00,-,-,-,168.00,-,0.15,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,13300.00,-,-,-,271.20,-,0.20,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12500.00,-,-,-,0.10,0.10,1.20,-,-,-,575.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12000.00,2.00,3.50,1.10,3.05,3.00,3.05,64.00,192.04,4300.00,25950.00,-325.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12300.00,-,-,-,340.80,-,1.85,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12100.00,-,-,-,401.50,-,2.90,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12400.00,-,-,-,313.30,-,1.50,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,12200.00,-,-,-,9.00,9.00,2.35,-,-,-,25.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10900.00,47.95,47.95,10.25,10.25,10.25,10.25,48.00,131.13,33025.00,4175.00,500.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10800.00,-,-,-,15.05,15.05,38.95,-,-,-,575.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11900.00,-,-,-,3.50,3.50,4.50,-,-,-,275.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11800.00,5.00,5.00,1.50,1.50,1.50,1.50,2.00,5.90,162.50,1375.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11400.00,1.10,1.10,1.10,1.10,1.10,1.10,1.00,2.85,27.50,50.00,25.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11700.00,-,-,-,547.85,-,6.85,-,-,-,-,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11500.00,5.00,7.00,5.00,6.00,6.00,6.00,29.00,83.42,4650.00,11825.00,-100.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11300.00,-,-,-,0.50,0.50,15.30,-,-,-,25.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11600.00,-,-,-,8.00,8.00,8.40,-,-,-,550.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11000.00,19.95,19.95,11.05,12.35,12.50,12.35,1118.00,3078.39,388816.25,98900.00,16950.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11100.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,2.78,100.00,200.00,25.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,11200.00,-,-,-,2.05,2.05,18.55,-,-,-,25.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10700.00,30.00,30.00,20.00,26.25,22.00,26.25,24.00,64.36,15576.25,550.00,425.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10600.00,31.00,38.95,24.15,24.20,24.20,24.20,148.00,393.26,105667.50,5700.00,675.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10500.00,32.00,40.05,29.50,31.05,33.00,31.05,1139.00,2999.55,967490.00,36725.00,675.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10400.00,45.00,48.00,37.00,38.45,38.10,38.45,171.00,446.47,187081.25,6400.00,2300.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10300.00,55.00,65.00,43.50,46.05,46.05,46.05,745.00,1927.92,954360.00,16700.00,8025.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10200.00,65.50,72.00,50.60,57.50,56.20,57.50,874.00,2242.49,1379403.75,17050.00,675.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10000.00,83.95,106.95,81.45,88.90,89.05,88.90,9789.00,24700.64,22814243.75,181775.00,10800.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9900.00,114.95,128.80,100.00,108.40,107.00,108.40,1494.00,3740.21,4255807.50,11600.00,2925.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,10100.00,71.00,89.95,67.15,72.55,73.00,72.55,1998.00,5083.19,3823703.75,17950.00,11800.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9600.00,199.70,226.30,177.05,191.50,193.00,191.50,1999.00,4899.14,10154110.00,23650.00,7275.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9800.00,124.10,155.00,119.05,130.95,133.55,130.95,2491.00,6188.84,8588767.50,37425.00,26700.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9500.00,227.95,265.00,205.80,228.00,231.00,228.00,8836.00,21507.49,52199412.50,95350.00,1150.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9700.00,158.00,188.95,143.00,158.00,159.45,158.00,1218.00,3004.21,5056105.00,39375.00,1625.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9300.00,275.00,359.30,275.00,312.25,314.00,312.25,2667.00,6414.37,21359296.25,80750.00,5950.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9200.00,362.90,413.00,333.80,361.55,363.00,361.55,4193.00,10032.20,38829920.00,44900.00,3975.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9400.00,274.00,312.70,246.90,269.90,269.95,269.90,2199.00,5318.21,15056315.00,29400.00,10850.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9000.00,449.95,527.95,440.00,475.40,472.00,475.40,915.00,2169.65,11089751.25,58700.00,-2600.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,8900.00,529.95,595.00,506.50,532.50,530.00,532.50,163.00,385.16,2248441.25,42925.00,-375.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,9100.00,395.00,470.00,382.10,419.30,420.00,419.30,1320.00,3144.94,14193881.25,13625.00,-375.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,8800.00,650.00,673.60,581.00,604.00,598.00,604.00,33.00,77.71,511181.25,5850.00,-,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,8600.00,759.30,810.00,740.00,810.00,810.00,810.00,51.00,119.55,990267.50,12100.00,-1075.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,8700.00,730.00,740.00,645.00,675.00,675.00,675.00,79.00,184.97,1314536.25,10875.00,-200.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,8500.00,820.00,900.00,795.00,810.30,825.00,810.30,42.00,98.18,893310.00,4425.00,-150.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,8400.00,900.00,900.00,900.00,900.00,900.00,900.00,1.00,2.33,22500.00,175.00,-25.00,9139.50
BANKNIFTY,02-Sep-2013,26-Sep-2013,CE,8200.00,-,-,-,971.70,1000.00,1075.05,-,-,-,25.00,-,9139.50
