Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,06-Mar-2013,28-Mar-2013,61.05,78.45,11876.2,12200.0,0.00094,0.0602739726,0.2971356818,80.55,232.2695516,235.3233071,222.5642124,114.9,131.1038379,136.9436718,120.4594642
BANKNIFTY,06-Mar-2013,28-Mar-2013,119.8,148.85,11876.2,12000.0,0.00094,0.0602739726,0.3214905839,153,342.2399653,356.152332,333.4549435,199.2,451.0126166,463.6845002,443.2852601
BANKNIFTY,06-Mar-2013,28-Mar-2013,161.15,199.65,11876.2,11900.0,0.00094,0.0602739726,0.3388077237,206,409.7916906,410.4822812,401.3678255,253.75,547.5856094,559.1134776,536.0680263
BANKNIFTY,06-Mar-2013,28-Mar-2013,274.4,315.7,11876.2,11700.0,0.00094,0.0602739726,0.3218359157,325.2,497.6975588,500.1637729,485.1215313,392.65,648.1653628,656.5171544,640.954962
BANKNIFTY,06-Mar-2013,28-Mar-2013,347.35,387.35,11876.2,11600.0,0.00094,0.0602739726,0.3575321198,400,596.4270887,604.467131,589.9922103,463.8,716.0183708,720.2623471,709.1959714
BANKNIFTY,06-Mar-2013,28-Mar-2013,411.5,468.75,11876.2,11500.0,0.00094,0.0602739726,0.3592135596,468.25,660.7108453,679.3308419,653.5210177,558.85,507.0864107,510.56593,497.8779914
BANKNIFTY,06-Mar-2013,28-Mar-2013,214,250.75,11876.2,11800.0,0.00094,0.0602739726,0.3395252158,257.95,462.037385,461.6350268,454.0792574,315.65,981.2394896,1001.537485,961.820232
BANKNIFTY,06-Mar-2013,28-Mar-2013,530,525.0,11876.2,11400.0,0.00094,0.0602739726,0.3149481031,525,683.6482319,686.8568062,668.5457207,603.5,903.438702,912.506076,886.8787647
BANKNIFTY,07-Mar-2013,28-Mar-2013,48,84.65,11970.25,12300.0,0.00094,0.05753424658,0.2680316899,88.25,192.3488361,198.6717987,181.2797028,159.8,363.0268025,361.9563821,349.8480848
BANKNIFTY,07-Mar-2013,28-Mar-2013,69.05,114.9,11970.25,12200.0,0.00094,0.05753424658,0.2971356818,118,262.3906143,271.0610413,252.7156673,210.15,288.5128625,292.3553504,284.3066362
BANKNIFTY,07-Mar-2013,28-Mar-2013,144.85,199.2,11970.25,12000.0,0.00094,0.05753424658,0.3214905839,206.55,380.0233992,380.8954578,370.1843325,332.55,579.4996006,583.4967878,570.6952336
