Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,17400.00,18.00,24.05,16.00,22.70,22.75,22.70,585.00,2547.74,299423.75,10625.00,10625.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,17300.00,20.00,34.00,19.90,30.50,32.00,30.50,320.00,1385.83,182826.25,5725.00,5725.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,17200.00,19.90,40.00,19.90,37.00,36.05,37.00,469.00,2020.35,364790.00,7675.00,7675.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,17000.00,32.45,66.00,27.00,56.85,64.00,56.85,15307.00,65238.65,18390228.75,125825.00,65125.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,17100.00,25.10,50.85,24.90,44.15,50.50,44.15,900.00,3856.13,862596.25,10000.00,8000.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16800.00,40.00,101.60,40.00,90.90,101.60,90.90,1867.00,7877.18,3577975.00,9950.00,7700.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16700.00,67.20,121.05,65.50,111.55,121.05,111.55,1998.00,8389.02,4736910.00,21625.00,18700.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16900.00,42.15,80.10,41.85,75.30,80.10,75.30,1197.00,5075.11,1778936.25,13750.00,13750.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16500.00,89.95,184.00,89.95,166.45,184.00,166.45,32666.00,135893.74,114649042.50,358575.00,141475.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16400.00,133.00,217.30,120.00,202.05,213.85,202.05,2682.00,11108.18,11198287.50,20150.00,11475.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16600.00,82.90,150.15,82.90,134.60,148.30,134.60,1769.00,7391.76,5040675.00,13800.00,12425.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16100.00,215.00,357.90,215.00,333.10,355.40,333.10,3170.00,12991.72,23247166.25,16250.00,8900.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16300.00,149.00,261.95,149.00,238.60,261.95,238.60,2725.00,11240.81,13643295.00,13650.00,4825.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16200.00,144.40,308.95,144.40,279.20,302.65,279.20,7356.00,30234.47,44266663.75,167825.00,27425.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,16000.00,240.10,415.85,240.10,384.10,410.70,384.10,28125.00,114842.34,234233965.00,463925.00,168100.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,15800.00,278.60,534.00,278.60,491.55,534.00,491.55,2497.00,10132.58,26942538.75,24600.00,-5675.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,15900.00,289.85,473.10,289.85,436.30,469.25,436.30,3893.00,15849.56,37488926.25,98875.00,19950.00,16012.80
BANKNIFTY,01-Sep-2014,25-Sep-2014,CE,15700.00,416.80,617.80,377.95,558.25,617.80,558.25,466.00,1887.54,5848931.25,21300.00,2825.00,16012.80
