Strike_Price,Spot_Price,Time,BS_Call,MC_Call,FD_Call,close,pred,C(T+1)
8760.85,9900.0,0.07945205479,0.4682454134,0.6459161966,0.2738793741,73.05,76.07236691742759,67.55
10336.55,12700.0,0.03835616438,0.5103003561,0.6150735208,0.472116074,0.6,0.38190482048173635,0.6
8664.2,9500.0,0.06301369863,7.40386712,7.447423225,5.894632646,103.8,142.32623767227443,156.45
10209.55,11300.0,0.08219178082,78.52362825,78.07893426,76.05747451,50.4,47.93043295464321,38.45
15392.25,17600.0,0.08219178082,6.66037506,6.553747697,5.334431667,146.55,146.86739108297485,146.55
11125.65,11900.0,0.008219178082,1.881834965,1.684901075,1.778687427,2.3,0.6771233822306613,1.3
11843.45,13000.0,0.04383561644,98.34443236,99.46551304,99.91560439,17.35,19.123389218364878,13.45
18372.65,19500.0,0.02465753425,112.5450818,111.5950024,113.2570749,12.05,10.933609353867169,5.35
11364.45,12600.0,0.04109589041,15.79795493,14.78654791,15.1056257,8.0,7.131261541720733,16.25
9145.0,13000.0,0.02739726027,0.0001141904424,0.0,5.55e-05,1.0,0.928081023011714,0.75
10797.55,12200.0,0.02739726027,1.363074786,1.655986559,1.249684886,6.9,5.934476532477049,6.45
12643.05,13100.0,0.0602739726,201.2048701,206.6498804,195.1850268,96.75,81.87674564191164,78.6
11086.95,13900.0,0.008219178082,6.17e-52,0.0,-0.0005427774385,396.75,396.75256689033637,396.75
11820.95,13600.0,0.02465753425,0.0005182877476,0.0,0.0002858365871,1.75,1.6423509174991295,1.75
15844.1,16600.0,0.02465753425,88.44654284,90.16110709,87.37046568,19.35,15.904522637473917,14.15
15111.2,16100.0,0.02465753425,55.4658396,53.92769988,54.75182558,28.7,22.692019119455153,8.4
8760.85,9700.0,0.002739726027,2.72e-48,0.0,-0.0001742342305,1.1,-0.9006770604619874,0.05
18037.05,19300.0,0.005479452055,1.012172264,0.8082616788,0.9840083151,0.65,0.2272475222185335,0.65
16760.05,17500.0,0.07671232877,247.6282641,254.7825921,232.5652409,89.15,92.78179042309496,189.15
11239.7,14600.0,0.005479452055,0.0,0.0,-0.0008201834366,265.55,265.590976512263,265.55
12938.2,13900.0,0.0602739726,10.1722658,9.85898974,7.923094109,309.3,317.7756022810758,346.75
16194.55,16800.0,0.008219178082,20.7696348,22.51093123,20.49657142,2.8,1.144482388987342,1.25
11614.25,12000.0,0.06301369863,236.3732902,239.2797872,229.6590338,131.45,125.39613709450475,73.0
15056.7,17000.0,0.04383561644,21.00683203,22.2458562,20.40782718,2.45,2.4567598630386556,1.75
10082.1,10800.0,0.06575342466,89.21800978,93.50246087,84.67380663,160.75,159.8906879797666,175.35
11686.75,14800.0,0.03835616438,2.7000000000000003e-28,0.0,-0.0005052241969,120.05,119.8915901722907,120.05
8870.5,11300.0,0.08219178082,1.701516406,1.212989831,1.430810465,730.4,539.7757932485366,730.4
8870.5,12600.0,0.08219178082,0.007831845345,0.0208781944,0.005005150247,264.35,263.22847958510164,264.35
16427.25,17100.0,0.02465753425,40.01361655,40.08948232,37.44274879,9.9,8.050324075443257,8.0
18037.05,19000.0,0.07945205479,662.6573878,661.7257035,692.8658927,102.05,149.3502254880725,95.6
11820.95,12300.0,0.02465753425,50.56184977,48.30607167,48.90322069,40.7,28.283427382257116,42.75
15269.05,16800.0,0.03835616438,25.16691094,25.04485489,23.74249891,3.65,3.5259288201592653,4.0
15844.1,17300.0,0.02465753425,5.478321348,5.767725731,5.1135373,2.35,2.2654062150276673,1.8
15269.05,16100.0,0.03835616438,143.3006973,142.3208977,141.2411331,29.75,29.12871199612664,36.25
11239.7,12500.0,0.005479452055,0.001366427309,0.005137840383,0.001056286895,0.65,0.31196101382664665,0.35
11523.4,14100.0,0.06301369863,3.1000000000000002e-21,0.0,-0.0003686307752,53.4,53.38998257569932,53.4
14997.5,16200.0,0.06301369863,163.0996447,165.2257845,161.4565574,103.35,85.62633286594155,80.1
