Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,18600.00,17.00,17.00,15.00,16.00,16.00,16.00,24.00,111.70,9510.00,575.00,575.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,18300.00,35.10,39.90,25.10,34.80,39.85,34.80,1018.00,4665.77,841920.00,7025.00,1950.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,18200.00,45.30,55.70,31.70,44.70,48.15,44.70,1758.00,8017.70,1880326.25,10075.00,2025.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,18400.00,26.80,29.75,19.90,26.10,25.80,26.10,2403.00,11069.09,1528870.00,33375.00,6525.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,18500.00,22.00,24.00,15.00,20.45,20.10,20.45,653.00,3023.29,316686.25,11175.00,11175.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,18100.00,56.35,64.40,40.00,57.60,59.95,57.60,1244.00,5645.80,1669712.50,7825.00,4825.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,17900.00,98.85,101.80,62.10,89.25,93.95,89.25,1269.00,5705.46,2668600.00,11300.00,3625.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,18000.00,77.55,77.55,49.85,70.85,72.00,70.85,20222.00,91342.65,34364727.50,222575.00,51750.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,17800.00,101.05,120.00,76.05,109.70,112.00,109.70,3305.00,14792.23,8497568.75,68300.00,5525.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,17600.00,164.75,183.55,118.05,168.55,175.15,168.55,2799.00,12425.28,10967536.25,34450.00,10075.00,17134.10
BANKNIFTY,03-Nov-2014,27-Nov-2014,CE,17700.00,128.00,148.65,94.65,136.10,139.95,136.10,3501.00,15605.50,11357022.50,19375.00,6550.00,17134.10
