Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1093.2,11575.6,11900.0,0.00094,0.1424657534,0.3388077237,-,503.786627,509.6633487,485.8956382,1093.2,528.9926867,537.7345378,506.9714632
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1270.4,11575.6,11700.0,0.00094,0.1424657534,0.3218359157,-,563.1959523,574.1684247,540.6567994,1270.4,655.7715234,676.9254436,634.3956835
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1180.8,11575.6,11800.0,0.00094,0.1424657534,0.3395252158,-,548.2068789,573.7854658,530.8670197,1180.8,791.8483963,803.9479569,777.1734268
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1361.7,11575.6,11600.0,0.00094,0.1424657534,0.3575321198,-,673.4596744,678.3873272,658.263796,1361.7,838.0740765,855.7025852,806.1554989
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1548.4,11575.6,11400.0,0.00094,0.1424657534,0.3149481031,-,705.8545885,717.1132243,676.8868799,1548.4,850.7893008,858.7149556,833.9063889
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1454.45,11575.6,11500.0,0.00094,0.1424657534,0.3592135596,-,727.0307755,742.4422623,713.0415524,1454.45,915.5647677,940.9640359,885.0306107
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1643.3,11575.6,11300.0,0.00094,0.1424657534,0.3241204912,-,778.1683534,803.8421527,748.516033,1643.3,970.430438,1017.838286,935.3942157
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1739.0,11575.6,11200.0,0.00094,0.1424657534,0.316966537,-,826.4931852,839.3997482,795.2907865,1739.0,1165.509869,1195.952628,1121.05448
BANKNIFTY,04-Mar-2013,25-Apr-2013,-,1835.3,11575.6,11100.0,0.00094,0.1424657534,0.3092128016,-,877.4695657,889.1854799,841.2832479,1835.3,1112.616727,1122.611972,1075.148175
BANKNIFTY,04-Mar-2013,30-May-2013,-,488.3,11575.6,11900.0,0.00094,0.2383561644,0.3388077237,-,715.33423,726.7619756,683.8869902,488.3,600.3495466,608.6558984,544.479329
BANKNIFTY,04-Mar-2013,30-May-2013,-,579.45,11575.6,11700.0,0.00094,0.2383561644,0.3218359157,-,768.8321078,788.0847786,727.9253772,579.45,1019.553808,1009.051775,993.4917223
BANKNIFTY,04-Mar-2013,30-May-2013,-,629.2,11575.6,11600.0,0.00094,0.2383561644,0.3575321198,-,897.0571432,920.7321625,870.1906144,629.2,875.9070889,901.2128987,838.5892272
BANKNIFTY,04-Mar-2013,30-May-2013,-,532.5,11575.6,11800.0,0.00094,0.2383561644,0.3395252158,-,761.6722961,764.6429138,730.8422902,532.5,1077.703258,1097.824023,1050.980697
BANKNIFTY,04-Mar-2013,30-May-2013,-,681.75,11575.6,11500.0,0.00094,0.2383561644,0.3592135596,-,951.0968828,960.2057083,925.7126566,681.75,1040.837479,1042.606805,984.7644242
BANKNIFTY,04-Mar-2013,30-May-2013,-,737.05,11575.6,11400.0,0.00094,0.2383561644,0.3149481031,-,907.6061492,926.2551443,858.084373,737.05,1167.893164,1190.605265,1110.93196
BANKNIFTY,04-Mar-2013,30-May-2013,-,856.1,11575.6,11200.0,0.00094,0.2383561644,0.316966537,-,1025.606889,1045.735558,970.8089905,856.1,1120.035756,1145.886795,1069.377858
BANKNIFTY,04-Mar-2013,30-May-2013,-,795.2,11575.6,11300.0,0.00094,0.2383561644,0.3241204912,-,982.852414,1015.702586,935.536032,600.0,1341.906854,1376.440296,1269.348443
BANKNIFTY,04-Mar-2013,30-May-2013,-,919.7,11575.6,11100.0,0.00094,0.2383561644,0.3092128016,-,1070.07962,1095.498435,1011.105072,919.7,1404.569585,1445.410106,1324.335667
