Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,02-May-2013,30-May-2013,CE,14200.00,13.90,13.90,13.90,13.90,13.90,13.90,3.00,10.66,1042.50,75.00,75.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,14300.00,-,-,-,65.85,-,30.50,-,-,-,-,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,14100.00,14.00,14.00,14.00,14.00,14.00,14.00,21.00,74.10,7350.00,525.00,525.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,14000.00,15.00,22.50,14.00,19.35,19.45,19.35,1311.00,4594.86,636373.75,33100.00,24875.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13600.00,41.80,60.00,37.45,53.10,51.10,53.10,2268.00,7740.58,2937912.50,35225.00,20375.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13700.00,28.45,46.45,27.60,40.70,40.00,40.70,1747.00,6000.40,1692900.00,45750.00,23725.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13900.00,19.80,28.00,19.80,25.10,25.40,25.10,66.00,229.75,39596.25,1925.00,1475.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13800.00,30.00,38.50,28.00,30.95,32.40,30.95,278.00,961.34,224448.75,7200.00,4225.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13400.00,58.00,95.30,58.00,85.80,85.00,85.80,2478.00,8353.82,5251500.00,26500.00,8250.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13300.00,84.40,118.35,79.10,107.50,108.00,107.50,3235.00,10842.34,8596633.75,30700.00,15550.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13500.00,50.05,77.20,47.85,67.20,66.25,67.20,6857.00,23254.88,11250211.25,110300.00,30225.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13100.00,125.00,178.45,123.65,162.85,161.00,162.85,2283.00,7567.99,9116812.50,29125.00,10750.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13200.00,107.95,146.00,98.00,133.25,133.85,133.25,4906.00,16348.10,15829870.00,60150.00,28650.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12700.00,271.20,350.00,260.05,326.80,328.00,326.80,5310.00,17288.24,42898855.00,75000.00,26125.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12600.00,295.30,407.25,295.30,379.85,380.85,379.85,4102.00,13298.14,37684006.25,45350.00,8650.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12900.00,167.00,258.20,167.00,238.55,236.80,238.55,3654.00,11996.08,21192622.50,42875.00,27475.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12800.00,232.40,302.10,220.30,280.95,282.55,280.95,3761.00,12294.74,25954362.50,52925.00,11850.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,13000.00,130.00,218.75,130.00,200.65,198.00,200.65,20462.00,67493.68,99218267.50,260950.00,124700.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12200.00,540.75,670.25,538.15,633.45,634.90,633.45,168.00,537.94,2554485.00,29650.00,3525.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12500.00,344.10,468.80,344.10,435.15,438.70,435.15,2103.00,6790.04,21816901.25,86475.00,9100.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12300.00,485.00,598.55,485.00,563.75,560.30,563.75,180.00,578.28,2478395.00,27500.00,2075.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12400.00,416.00,532.65,412.50,499.85,490.50,499.85,631.00,2032.03,7593378.75,44075.00,4850.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12100.00,680.00,730.00,680.00,700.00,700.00,700.00,120.00,383.76,2075918.75,13950.00,2950.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11900.00,679.30,900.00,679.30,900.00,900.00,900.00,4.00,12.73,82938.75,2225.00,50.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11800.00,822.70,984.00,822.70,984.00,984.00,984.00,37.00,117.49,834293.75,41625.00,675.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,12000.00,693.20,824.85,680.10,785.25,786.25,785.25,519.00,1657.25,10025292.50,61975.00,4100.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11700.00,973.95,1075.00,973.95,1050.00,1050.00,1050.00,52.00,165.97,1387176.25,35850.00,-775.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11600.00,1134.95,1134.95,1125.00,1125.00,1125.00,1125.00,2.00,6.36,56498.75,1700.00,25.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11300.00,1350.00,1425.00,1350.00,1415.00,1415.00,1415.00,17.00,54.02,599250.00,6200.00,-100.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11200.00,-,-,-,1201.00,1201.00,1595.30,-,-,-,4825.00,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11400.00,1245.00,1338.70,1245.00,1288.35,1290.00,1288.35,7.00,22.21,225820.00,2100.00,25.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11500.00,1084.50,1232.65,1084.50,1232.65,1232.65,1232.65,24.00,76.00,699660.00,54625.00,-500.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10900.00,-,-,-,1599.00,1599.00,1884.90,-,-,-,-,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10700.00,-,-,-,1200.50,-,2080.95,-,-,-,-,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11000.00,1590.00,1700.00,1590.00,1700.00,1700.00,1700.00,6.00,18.92,242250.00,15450.00,-100.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10800.00,-,-,-,1000.00,1000.00,1982.75,-,-,-,125.00,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,11100.00,-,-,-,1300.00,1300.00,1691.05,-,-,-,800.00,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10600.00,-,-,-,2000.00,2000.00,2179.50,-,-,-,100.00,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10500.00,2130.00,2130.00,2130.00,2130.00,2130.00,2130.00,12.00,37.89,639000.00,8650.00,300.00,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10400.00,-,-,-,674.75,674.75,2377.30,-,-,-,100.00,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10100.00,-,-,-,1688.05,-,2674.80,-,-,-,-,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10200.00,-,-,-,886.50,886.50,2575.55,-,-,-,100.00,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10000.00,-,-,-,2625.00,2625.00,2774.10,-,-,-,575.00,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,10300.00,-,-,-,1517.95,-,2476.35,-,-,-,-,-,12709.95
BANKNIFTY,02-May-2013,30-May-2013,CE,9900.00,-,-,-,1864.30,-,2873.40,-,-,-,-,-,12709.95
