Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,17200.00,32.00,36.00,29.05,32.05,32.85,32.05,784.00,3377.69,648936.25,20075.00,3525.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,17100.00,40.00,47.95,40.00,47.95,47.95,47.95,3.00,12.86,3198.75,3350.00,-,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16900.00,-,-,-,51.75,51.75,55.45,-,-,-,1075.00,-,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16800.00,70.00,80.95,60.05,65.40,68.00,65.40,132.00,556.65,224796.25,2250.00,1950.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,17000.00,48.15,53.00,43.95,46.55,46.55,46.55,2620.00,11166.60,3159740.00,93050.00,10675.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16700.00,73.35,85.00,73.35,80.75,84.90,80.75,34.00,142.63,68221.25,2600.00,175.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16400.00,129.45,141.20,125.05,130.30,130.00,130.30,566.00,2339.46,1885568.75,11050.00,7000.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16500.00,110.05,122.80,104.85,111.85,113.55,111.85,5521.00,22931.54,15741343.75,174000.00,28325.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16600.00,100.00,101.00,89.75,95.00,93.20,95.00,148.00,617.73,353275.00,6100.00,1675.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16300.00,152.00,166.00,145.15,151.90,152.00,151.90,570.00,2344.96,2221108.75,10425.00,4400.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16200.00,178.35,189.95,169.15,178.75,178.00,178.75,294.00,1203.96,1326426.25,27775.00,2325.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16100.00,199.90,216.00,198.95,204.15,206.20,204.15,658.00,2682.50,3404526.25,16575.00,6775.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,16000.00,230.05,249.50,224.15,232.20,236.00,232.20,13160.00,53415.47,77546751.25,411275.00,156800.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15700.00,343.05,369.00,331.45,347.45,355.00,347.45,296.00,1187.70,2589532.50,13950.00,600.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15900.00,265.35,284.50,260.00,268.15,270.45,268.15,419.00,1694.12,2859917.50,19025.00,5375.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15600.00,393.90,411.55,375.85,392.20,398.95,392.20,794.00,3174.66,7806280.00,24325.00,8225.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15800.00,309.90,328.00,294.40,307.25,314.95,307.25,550.00,2215.18,4267620.00,26925.00,500.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15500.00,431.95,465.05,420.05,442.05,450.00,442.05,6485.00,25851.67,72229588.75,312625.00,32225.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15300.00,530.05,569.95,508.25,543.70,550.00,543.70,392.00,1552.58,5318260.00,28575.00,-75.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15400.00,480.05,515.00,469.95,489.60,514.00,489.60,2273.00,9031.03,27998487.50,40225.00,14050.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,15200.00,588.00,625.00,575.25,598.60,603.60,598.60,173.00,683.28,2587865.00,16975.00,275.00,15321.35
BANKNIFTY,01-Jul-2014,31-Jul-2014,CE,14900.00,802.75,802.75,774.00,774.00,774.00,774.00,2.00,7.84,39418.75,1175.00,-,15321.35
