Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,12100.00,107.70,136.00,106.45,131.30,135.35,131.30,3689.00,11272.68,11345398.75,26825.00,7700.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11800.00,214.95,256.00,202.40,249.45,254.20,249.45,3953.00,11892.42,23107168.75,37050.00,13925.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11700.00,292.20,308.70,248.00,300.70,301.30,300.70,4117.00,12334.29,29206347.50,28950.00,14925.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,12000.00,164.00,169.00,133.00,164.15,167.85,164.15,11342.00,34460.92,43491598.75,140675.00,57000.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11900.00,166.20,210.00,163.55,203.70,210.00,203.70,1785.00,5396.11,8573855.00,13100.00,-350.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11500.00,350.00,437.55,344.00,421.00,434.00,421.00,1865.00,5546.72,18484601.25,70900.00,-10650.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11600.00,304.00,370.00,290.05,356.10,370.00,356.10,1603.00,4782.20,13350097.50,40400.00,1525.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11400.00,428.95,509.50,421.00,486.60,509.50,486.60,597.00,1771.52,7007065.00,12525.00,-3600.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11200.00,566.95,644.00,564.00,643.50,641.30,643.50,349.00,1030.33,5312543.75,16625.00,-4375.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11300.00,490.00,572.45,476.50,564.60,567.80,564.60,156.00,461.48,2077788.75,13450.00,-1225.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11100.00,671.15,724.90,670.00,724.90,724.90,724.90,20.00,58.99,348986.25,1450.00,-150.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,11000.00,726.40,802.80,713.50,800.00,799.05,800.00,58.00,170.67,1116728.75,8475.00,-375.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10800.00,-,-,-,850.00,850.00,1037.50,-,-,-,250.00,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10900.00,850.00,890.00,840.00,885.00,885.00,885.00,4.00,11.77,86625.00,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10600.00,-,-,-,900.00,900.00,1211.65,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10700.00,-,-,-,880.00,880.00,1123.40,-,-,-,25.00,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10500.00,1206.00,1255.50,1206.00,1253.15,1255.50,1253.15,6.00,17.62,186792.50,7300.00,100.00,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10400.00,-,-,-,1560.80,-,1394.10,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10200.00,-,-,-,1745.55,-,1582.70,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10100.00,-,-,-,1702.35,-,1678.65,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10300.00,-,-,-,1652.55,-,1487.75,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,10000.00,1700.00,1791.80,1684.60,1684.60,1684.60,1684.60,5.00,14.65,215035.00,1050.00,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,9900.00,-,-,-,1584.20,-,1872.95,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,9800.00,-,-,-,1677.00,-,1971.00,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,9600.00,-,-,-,1659.80,-,2168.15,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,9700.00,-,-,-,1725.00,-,2069.40,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,9500.00,-,-,-,1635.50,-,2267.10,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14700.00,-,-,-,243.95,-,0.95,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14500.00,-,-,-,288.05,-,1.60,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14900.00,-,-,-,222.80,-,0.55,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14800.00,-,-,-,252.80,-,0.70,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14600.00,-,-,-,265.55,-,1.20,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14400.00,-,-,-,176.95,-,2.10,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14300.00,-,-,-,294.30,-,2.70,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14100.00,-,-,-,342.00,-,4.50,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,13900.00,-,-,-,396.75,-,7.35,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14000.00,-,-,-,368.55,-,5.75,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,14200.00,-,-,-,317.65,-,3.50,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,13800.00,-,-,-,426.60,-,9.35,-,-,-,-,-,11714.90
BANKNIFTY,01-Jul-2013,25-Jul-2013,CE,13400.00,-,-,-,50.40,50.40,23.05,-,-,-,25.00,-,11714.90
