Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,13100.00,26.00,32.00,22.15,26.25,25.95,26.25,231.00,758.02,149157.50,5125.00,5125.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,13000.00,30.00,39.80,28.15,32.05,30.00,32.05,1963.00,6395.58,1583272.50,22925.00,22925.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12900.00,34.35,49.35,34.35,42.30,42.30,42.30,200.00,646.92,191873.75,2900.00,2900.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12700.00,58.60,71.95,51.50,60.65,59.50,60.65,1170.00,3732.50,1775053.75,8050.00,5350.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12800.00,48.75,56.00,41.00,49.45,47.00,49.45,279.00,896.18,338180.00,3375.00,3375.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12500.00,60.00,107.90,57.00,92.60,86.05,92.60,9789.00,30808.69,21806501.25,81125.00,26700.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12400.00,105.50,130.35,91.05,113.20,108.40,113.20,2384.00,7455.81,6541205.00,34350.00,33200.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12600.00,69.30,87.00,60.10,77.10,74.80,77.10,2134.00,6761.32,3921877.50,33525.00,31275.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12300.00,110.00,157.10,110.00,140.20,132.25,140.20,879.00,2732.73,2980208.75,6500.00,5850.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12200.00,114.85,190.80,114.85,169.25,160.15,169.25,2911.00,8998.71,12016260.00,39225.00,37600.00,11628.65
BANKNIFTY,01-Nov-2013,28-Nov-2013,CE,12100.00,185.00,225.00,164.00,197.70,190.00,197.70,901.00,2769.82,4429898.75,8725.00,6625.00,11628.65
